hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2024,1247,89,2.3,4.1,1.8,12.4,5.2,8.7,6.2,18.3,7.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,2,2024,1189,82,2.1,3.9,1.7,11.8,5.1,8.3,5.9,17.8,7.5
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,3,2024,1298,95,2.4,4.2,1.9,12.7,5.3,9.1,6.5,19.1,8.1
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,4,2024,1256,88,2.2,4.0,1.8,12.1,5.2,8.5,6.1,18.5,7.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,5,2024,1274,91,2.3,4.1,1.8,12.3,5.2,8.6,6.3,18.7,7.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,6,2024,1235,86,2.2,3.9,1.7,11.9,5.1,8.4,6.0,18.1,7.6
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2024,1289,93,2.4,4.2,1.9,12.6,5.3,8.9,6.4,19.0,8.0
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,8,2024,1267,90,2.3,4.1,1.8,12.4,5.2,8.7,6.3,18.6,7.8
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,9,2024,1241,87,2.2,3.9,1.7,12.0,5.1,8.4,6.0,18.2,7.6
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,10,2024,1278,92,2.3,4.1,1.8,12.4,5.2,8.7,6.2,18.7,7.9
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,11,2024,1254,89,2.2,4.0,1.8,12.2,5.2,8.6,6.1,18.4,7.7
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,12,2024,1296,94,2.4,4.2,1.9,12.7,5.3,9.0,6.5,19.1,8.1
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,1,2025,1265,90,2.1,3.8,1.6,11.5,4.9,8.1,5.8,17.5,7.3
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2024,2145,156,1.2,2.1,0.9,7.8,3.8,4.2,3.1,10.2,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,2,2024,2098,149,1.1,2.0,0.8,7.5,3.7,4.0,2.9,9.8,4.9
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,3,2024,2187,163,1.3,2.2,0.9,8.1,3.9,4.4,3.2,10.5,5.2
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,4,2024,2134,158,1.2,2.1,0.9,7.9,3.8,4.3,3.1,10.3,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,5,2024,2156,160,1.2,2.1,0.9,8.0,3.8,4.3,3.2,10.4,5.2
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,6,2024,2112,154,1.1,2.0,0.8,7.7,3.7,4.1,3.0,10.0,5.0
